x y logcount
0.6250 0.5250 1.531479
0.6750 0.5250 1.491362
0.7250 0.5250 1.491362
0.7750 0.5250 1.724276
0.8250 0.5250 1.672098
0.8750 0.5250 1.462398
0.9250 0.5250 1.361728
0.9750 0.5250 0.845098
0.0250 0.5750 0.000000
0.0750 0.5750 0.301030
0.1250 0.5750 0.301030
0.1750 0.5750 0.477121
0.2250 0.5750 0.602060
0.2750 0.5750 0.602060
0.3250 0.5750 0.301030
0.3750 0.5750 0.778151
0.4250 0.5750 0.903090
0.4750 0.5750 0.903090
0.5250 0.5750 0.954243
0.5750 0.5750 1.000000
0.6250 0.5750 1.255273
0.6750 0.5750 1.230449
0.7250 0.5750 1.447158
0.7750 0.5750 1.361728
0.8250 0.5750 1.414973
0.8750 0.5750 1.301030
0.9250 0.5750 0.778151
0.9750 0.5750 0.778151
0.0250 0.6250 0.000000
0.0750 0.6250 0.301030
0.1250 0.6250 0.477121
0.1750 0.6250 0.602060
0.2250 0.6250 0.602060
0.2750 0.6250 0.602060
0.3250 0.6250 0.301030
0.3750 0.6250 0.301030
0.4250 0.6250 0.698970
0.4750 0.6250 0.698970
0.5250 0.6250 0.845098
0.5750 0.6250 1.113943
0.6250 0.6250 1.322219
0.6750 0.6250 1.301030
0.7250 0.6250 1.322219
0.7750 0.6250 1.301030
0.8250 0.6250 1.361728
0.8750 0.6250 1.462398
0.9250 0.6250 1.146128
0.9750 0.6250 0.301030
0.0250 0.6750 0.000000
0.0750 0.6750 0.301030
0.1250 0.6750 0.477121
0.1750 0.6750 0.698970
0.2250 0.6750 0.602060
0.2750 0.6750 0.477121
0.3250 0.6750 0.602060
0.3750 0.6750 0.698970
0.4250 0.6750 0.477121
0.4750 0.6750 0.477121
0.5250 0.6750 1.000000
0.5750 0.6750 0.903090
0.6250 0.6750 1.176091
0.6750 0.6750 1.414973
0.7250 0.6750 1.301030
0.7750 0.6750 1.397940
0.8250 0.6750 1.322219
0.8750 0.6750 1.113943
0.9250 0.6750 1.113943
0.9750 0.6750 0.845098
0.0250 0.7250 0.000000
0.0750 0.7250 0.301030
0.1250 0.7250 0.301030
0.1750 0.7250 0.477121
0.2250 0.7250 0.698970
0.2750 0.7250 0.301030
0.3250 0.7250 0.602060
0.3750 0.7250 0.602060
0.4250 0.7250 0.000000
0.4750 0.7250 0.698970
0.5250 0.7250 0.845098
0.5750 0.7250 0.698970
0.6250 0.7250 0.903090
0.6750 0.7250 1.146128
0.7250 0.7250 1.113943
0.7750 0.7250 1.301030
0.8250 0.7250 1.146128
0.8750 0.7250 1.176091
0.9250 0.7250 1.176091
0.9750 0.7250 0.000000
0.0250 0.7750 0.000000
0.0750 0.7750 0.301030
0.1250 0.7750 0.602060
0.1750 0.7750 0.903090
0.2250 0.7750 0.845098
0.2750 0.7750 0.602060
0.3250 0.7750 0.602060
0.3750 0.7750 0.698970
0.4250 0.7750 0.602060
0.4750 0.7750 0.602060
0.5250 0.7750 0.602060
0.5750 0.7750 0.778151
0.6250 0.7750 0.778151
0.6750 0.7750 1.041393
0.7250 0.7750 1.113943
0.7750 0.7750 1.041393
0.8250 0.7750 1.079181
0.8750 0.7750 1.079181
0.9250 0.7750 0.845098
0.9750 0.7750 0.698970
0.0250 0.8250 0.000000
0.0750 0.8250 0.301030
0.1250 0.8250 0.301030
0.1750 0.8250 0.301030
0.2250 0.8250 0.477121
0.2750 0.8250 0.477121
0.3250 0.8250 0.477121
0.3750 0.8250 0.000000
0.4250 0.8250 0.301030
0.4750 0.8250 0.698970
0.5250 0.8250 0.903090
0.5750 0.8250 0.903090
0.6250 0.8250 0.903090
0.6750 0.8250 1.301030
0.7250 0.8250 1.041393
0.7750 0.8250 1.278754
0.8250 0.8250 1.146128
0.8750 0.8250 1.000000
0.9250 0.8250 1.000000
0.9750 0.8250 0.301030
0.0250 0.8750 0.000000
0.0750 0.8750 0.000000
0.1250 0.8750 0.000000
0.1750 0.8750 0.301030
0.2250 0.8750 0.301030
0.2750 0.8750 0.845098
0.3250 0.8750 0.301030
0.3750 0.8750 0.698970
0.4250 0.8750 0.000000
0.4750 0.8750 0.477121
0.5250 0.8750 0.477121
0.5750 0.8750 0.698970
0.6250 0.8750 0.778151
0.6750 0.8750 1.079181
0.7250 0.8750 1.000000
0.7750 0.8750 0.954243
0.8250 0.8750 0.903090
0.8750 0.8750 0.954243
0.9250 0.8750 0.698970
0.9750 0.8750 0.301030
0.0250 0.9250 0.000000
0.0750 0.9250 0.000000
0.1250 0.9250 0.000000
0.1750 0.9250 0.000000
0.2250 0.9250 0.301030
0.2750 0.9250 0.000000
0.3250 0.9250 0.000000
0.3750 0.9250 0.000000
0.4250 0.9250 0.000000
0.4750 0.9250 0.301030
0.5250 0.9250 0.477121
0.5750 0.9250 0.301030
0.6250 0.9250 0.602060
0.6750 0.9250 0.602060
0.7250 0.9250 0.845098
0.7750 0.9250 0.903090
0.8250 0.9250 0.845098
0.8750 0.9250 0.845098
0.9250 0.9250 0.000000
0.9750 0.9250 0.602060
0.0250 0.9750 0.301030
0.0750 0.9750 0.845098
0.1250 0.9750 0.301030
0.1750 0.9750 0.845098
0.2250 0.9750 0.903090
0.2750 0.9750 0.903090
0.3250 0.9750 0.602060
0.3750 0.9750 0.477121
0.4250 0.9750 0.602060
0.4750 0.9750 0.698970
0.5250 0.9750 0.477121
0.5750 0.9750 0.778151
0.6250 0.9750 0.903090
0.6750 0.9750 1.204120
0.7250 0.9750 1.204120
0.7750 0.9750 0.954243
0.8250 0.9750 1.204120
0.8750 0.9750 0.954243
0.9250 0.9750 0.602060
0.9750 0.9750 0.301030
